iter	Passed	Remaining
1308	6239	910
1309	6243	905
1310	6248	900
1311	6252	895
1312	6257	891
1313	6261	886
1314	6265	881
1315	6270	876
1316	6274	871
1317	6279	867
1318	6285	862
1319	6289	857
1320	6294	852
1321	6299	848
1322	6304	843
1323	6308	838
1324	6313	833
1325	6318	829
1326	6324	824
1327	6328	819
1328	6333	814
1329	6338	810
1330	6342	805
1331	6347	800
1332	6351	795
1333	6355	790
1334	6359	786
1335	6364	781
1336	6368	776
1337	6372	771
1338	6376	766
1339	6381	762
1340	6387	757
1341	6392	752
1342	6398	747
1343	6403	743
1344	6409	738
1345	6415	733
1346	6420	729
1347	6426	724
1348	6431	719
1349	6436	715
1350	6442	710
1351	6447	705
1352	6453	701
1353	6458	696
1354	6464	691
1355	6468	686
1356	6473	682
1357	6478	677
1358	6482	672
1359	6486	667
1360	6490	662
1361	6495	658
1362	6500	653
1363	6504	648
1364	6508	643
1365	6513	638
1366	6517	634
1367	6520	629
1368	6526	624
1369	6531	619
1370	6535	614
1371	6540	610
1372	6545	605
1373	6549	600
1374	6554	595
1375	6559	591
1376	6564	586
1377	6568	581
1378	6572	576
1379	6577	571
1380	6581	567
1381	6585	562
1382	6589	557
1383	6594	552
1384	6599	547
1385	6603	543
1386	6608	538
1387	6613	533
1388	6617	528
1389	6621	523
1390	6626	519
1391	6631	514
1392	6636	509
1393	6641	504
1394	6645	500
1395	6649	495
1396	6654	490
1397	6659	485
1398	6664	481
1399	6669	476
1400	6674	471
1401	6678	466
1402	6682	462
1403	6687	457
1404	6692	452
1405	6697	447
1406	6701	442
1407	6706	438
1408	6711	433
1409	6716	428
1410	6720	423
1411	6725	419
1412	6729	414
1413	6734	409
1414	6739	404
1415	6744	400
1416	6748	395
1417	6753	390
1418	6758	385
1419	6762	381
1420	6767	376
1421	6771	371
1422	6776	366
1423	6781	361
1424	6786	357
1425	6791	352
1426	6795	347
1427	6800	342
1428	6805	338
1429	6809	333
1430	6814	328
1431	6818	323
1432	6823	319
1433	6827	314
1434	6831	309
1435	6836	304
1436	6840	299
1437	6845	295
1438	6850	290
1439	6855	285
1440	6859	280
1441	6864	276
1442	6868	271
1443	6873	266
1444	6877	261
1445	6881	257
1446	6886	252
1447	6891	247
1448	6896	242
1449	6901	237
1450	6906	233
1451	6910	228
1452	6915	223
1453	6919	218
1454	6923	214
1455	6928	209
1456	6933	204
1457	6937	199
1458	6940	195
1459	6944	190
1460	6949	185
1461	6954	180
1462	6958	175
1463	6962	171
1464	6967	166
1465	6972	161
1466	6977	156
1467	6981	152
1468	6986	147
1469	6990	142
1470	6994	137
1471	7000	133
1472	7005	128
1473	7009	123
1474	7015	118
1475	7019	114
1476	7023	109
1477	7028	104
1478	7034	99
1479	7038	95
1480	7043	90
1481	7048	85
1482	7053	80
1483	7056	76
1484	7062	71
1485	7067	66
1486	7071	61
1487	7075	57
1488	7080	52
1489	7084	47
1490	7089	42
1491	7094	38
1492	7099	33
1493	7102	28
1494	7107	23
1495	7111	19
1496	7116	14
1497	7120	9
1498	7125	4
1499	7131	0
